index,업소명,업종,총평점,id
197,육시리 선릉점,돼지고기구이,4.52,1823169314.0
198,로네펠트티하우스 선릉점,카페,4.39,1830149519.0
199,신흥정육식당,소고기구이,4.56,1184.0
200,스몰톡커피 smalltalkcoffee,디저트,4.8,1782649507.0
201,연더그레이,기타,4.65,1853318526.0
202,라무진 선릉역점,양고기구이,4.77,1448615379.0
203,보영만두 선릉점,분식,4.26,1900782871.0
204,화수사,일식,4.49,13050432.0
205,그릴1492 삼성1호점,돼지고기구이,4.67,1307702580.0
206,레어마카롱,베이커리,4.85,1341791849.0
207,동해수산,횟집,4.25,1710664.0
208,동래정 선릉직영점,돼지고기구이,4.93,1347707437.0
209,군자대한곱창 선릉점,곱창,3.95,1002830414.0
210,잼라운지,이탈리아음식,4.72,1986034073.0
211,하오마라 선릉점,중식,4.49,1020603768.0
212,큰돈가 선릉점,고기요리,4.38,1516506000.0
213,동촌 대치점,해물요리,4.47,11887408.0
214,홍대포,해물요리,4.52,36503966.0
215,고메고매,고기요리,4.32,11587873.0
216,춘이네닭도리탕,한식,4.44,37870679.0
217,곰작골나주곰탕 선릉점,"국,탕",4.23,37997041.0
218,샤이바나 선릉포스코센터점,브런치,4.25,1244787771.0
219,예향,한식,4.17,19867464.0
220,해장옥 선릉점,"국,탕",4.36,1092829886.0
221,페르에피스,카페,4.48,13573782.0
222,흐비지떼,디저트,4.7,1756500261.0
223,디어무드 더모먼트,디저트,4.98,1901226106.0
224,슐미랭삼 선릉점,고기요리,4.64,1977837738.0
225,니뽕내뽕 선릉점,중식,4.41,33798430.0
226,오마치슌,일식,4.66,36667318.0
227,하오,중식,4.23,37765569.0
228,천용,중식,4.36,11621343.0
229,대파 양곱창,곱창,4.5,13465296.0
230,부산양곱창,곱창,4.39,37718307.0
231,우리집젤라또 대치점,디저트,4.66,1790143710.0
232,고반식당 선릉점,돼지고기구이,4.33,38667568.0
233,광주식당,한식,4.08,19877358.0
234,청담동마녀김밥 대치점,분식,4.35,1112774603.0
235,앙떼띠 커피로스터리,카페,4.63,1931206028.0
236,마초갈비 선릉점,고기요리,4.41,1355523450.0
237,순남시래기 선릉점,한식,4.39,1607767682.0
238,강남수랏간,고기요리,4.32,38274146.0
239,빌리엔젤 신라스테이점,디저트,4.45,36170839.0
240,삼미대포 선릉점,고기요리,4.69,1902972570.0
241,자유참치,횟집,4.44,13149976.0
242,청춘닭볶이,한식,4.55,32739228.0
243,희카롱,디저트,4.72,374538943.0
244,어메이징타이,해외음식,4.51,1017962619.0
245,아모르미오,디저트,,1998709899.0
246,홍콩다방 선릉점,디저트,4.38,1200109126.0
247,탄두리카,해외음식,4.52,1029502308.0
248,미풍양주,한식,4.5,1172720223.0
249,카페그라노,카페,4.49,36507580.0
250,육성급,고기요리,4.6,1275553707.0
251,서래향 선릉점,중식,4.2,1611181.0
252,지미스 타코,해외음식,4.08,3158.0
253,포하임 선릉점,베트남음식,4.45,1267112584.0
254,국고집,고기요리,4.51,1135125794.0
255,풍년집 선릉점,한식,4.41,30916873.0
256,황금어장,횟집,4.43,13137410.0
257,맥도날드 선릉점,햄버거,4.37,19331864.0
258,보돌미역 강남포스코점,한식,4.14,1800110701.0
259,사보텐 선릉역점,일식,4.45,33305865.0
260,인비트윈,샐러드,4.29,19484662.0
261,원조감자탕일미집 강남직영점,"국,탕",4.02,1699940847.0
262,나능이능이버섯백숙 대치점,"국,탕",4.55,1574481586.0
263,대치동집,돼지고기구이,4.22,15284856.0
264,토마틸로 포스코센터점,해외음식,4.23,1291550492.0
265,해변에서,소고기구이,4.85,1629773813.0
266,롤링핀 포스코 사거리점,베이커리,4.3,38544354.0
267,싸프란겔 선릉역점,카페,4.53,1360224523.0
268,커피빈 삼성로점,카페,4.37,30924898.0
269,선릉 한옥집,한식,4.14,3273.0
270,72420(칠리사이공),베트남음식,4.56,37420628.0
271,한성마라탕 선릉점,중식,4.61,1649747366.0
272,개나리아구찜,한식,4.38,134988067.0
273,조선밥도둑,한식,4.61,1071017880.0
274,펠어커피 강남포스코사거리점,카페,4.77,1091178790.0
275,얌샘김밥 선릉역점,분식,4.35,1212217386.0
276,이태리부대찌개 선릉점,한식,4.42,1905553.0
277,마라차이즈,중식,4.52,1764629326.0
278,무한장어 역삼점,해물요리,3.96,38486524.0
279,해초록사랑,횟집,4.35,12819582.0
280,란콰이펑누들,한식,4.46,1476811015.0
281,카츠젠 선릉점,일식,4.41,1239333634.0
282,의령전원,한식,4.27,37749228.0
283,코우,일식,4.41,1663492959.0
284,청년다방 선릉역점,분식,4.44,1976229738.0
285,스파게티스토리 대치점,양식,4.27,36305498.0
286,긴자카레,일식,4.26,1094704999.0
287,스시히로바 삼성동본점,일식,4.31,18457218.0
288,한성양꼬치 선릉2호점,양고기구이,4.74,1537330706.0
289,사까나야바로바로,일식,4.29,32720642.0
290,정참치,횟집,4.48,1775501312.0
291,카발,이탈리아음식,4.26,36665270.0
292,스타벅스 선릉세화빌딩점,카페,4.48,11684150.0
293,등촌샤브칼국수 선릉점,분식,4.39,1404389524.0
294,본죽&비빔밥cafe 선릉점,한식,4.3,3.0
295,투썸플레이스 테헤란선릉역점,카페,4.27,37236369.0
296,우마쿠라,일식,4.25,13275602.0
297,선향정 샤브샤브,한식,4.62,1077814867.0
298,경성양꼬치 선릉직영점,양고기구이,4.3,36241245.0
299,형제정육회관,소고기구이,4.36,18576400.0
300,나현석의해물손칼국수,분식,4.31,35296544.0
301,김봉남포장마차 선릉점,기타,4.49,36513564.0
302,세광양대창 선릉점,곱창,4.41,1632458472.0
303,치찌중화식탁 선릉점,중식,4.12,1696914035.0
